Name,Desc
Immunity,"Prevents the Pokémon from getting poisoned."
Imposter,"It transforms itself into the Pokémon it is facing."
Infiltrator,"Passes through the foe's barrier and strikes."
Innards Out,"Deals damage upon fainting."
Inner Focus,"The Pokémon is protected from flinching."
Insomnia,"Prevents the Pokémon from falling asleep."
Intimidate,"Lowers the foe's Attack stat."
Intrepid Sword,"Boosts Attack in battle."
Iron Barbs,"Inflicts damage to the Pokémon on contact."
Iron Fist,"Boosts the power of punching moves."
Justified,"Raises Attack when hit by a Dark-type move."
Keen Eye,"Prevents other Pokémon from lowering accuracy."
Klutz,"The Pokémon can't use any held items."
Leaf Guard,"Prevents problems with status in sunny weather."
Levitate,"Gives immunity to Ground type moves."
Libero,"Changes the Pokémon's type to its last used move."
Light Metal,"Halves the Pokémon's weight."
Lightning Rod,"Draws in all Electric-type moves to up Sp. Attack."
Limber,"The Pokémon is protected from paralysis."
Lingering Aroma,"Contact changes the attacker's Ability to Lingering Aroma."
Liquid Ooze,"Damages attackers using any draining move."
Liquid Voice,"All sound-based moves become Water-type moves."
Long Reach,"The Pokémon uses its moves without making contact with the target."
Magic Bounce,"Reflects status- changing moves."
Magic Guard,"Protects the Pokémon from indirect damage."
Magician,"The Pokémon steals the held item of a Pokémon it hits with a move."
Magma Armor,"Prevents the Pokémon from becoming frozen."
Magnet Pull,"Prevents Steel-type Pokémon from escaping."
Marvel Scale,"Ups Defense if there is a status problem."
Mega Launcher,"Boosts the power of aura and pulse moves."
Merciless,"The Pokémon's attacks become critical hits if the target is poisoned."
Mimicry,"Changes type depending on the terrain."
Mind;s Eye,"Ignores opponent's Evasiveness,and allows Normal- and Fighting-type attacks to hit Ghosts."
Minus,"Ups Sp. Atk if another Pokémon has Plus or Minus."
Mirror Armor,"Reflects any stat-lowering effects."
Misty Surge,"The Pokémon creates a Misty Terrain when it enters a battle."
Mold Breaker,"Moves can be used regardless of Abilities."
Moody,"Raises one stat and lowers another."
Motor Drive,"Raises Speed if hit by an Electric-type move."
Moxie,"Boosts Attack after knocking out any Pokémon."
Multiscale,"Reduces damage when HP is full."
Multitype,"Changes type to match the held Plate."
Mummy,"Contact with this Pokémon spreads this Ability."
Mycelium Might,"Status moves go last,but are not affected by the opponent's ability."
Natural Cure,"All status problems heal when it switches out."
Neuroforce,"Powers up moves that are super effective."
Neutralizing Gas,"Neutralizes abilities of all Pokémon in battle."
No Guard,"Ensures attacks by or against the Pokémon land."
Normalize,"All the Pokémon's moves become the Normal type."
Oblivious,"Prevents it from becoming infatuated."
Opportunist,"Copies stat boosts by the opponent."
Orichalcum Pulse,"Turns the sunlight harsh when entering battle,and boosts Attack while active."
Overcoat,"Protects the Pokémon from weather damage."
Overgrow,"Powers up Grass-type moves in a pinch."
Own Tempo,"Prevents the Pokémon from becoming confused."
Parental Bond,"Allows the Pokémon to attack twice."
Pastel Veil,"Prevents the Pokémon and its allies from being poisoned."
Perish Body,"When hit by a move that makes direct contact,the Pokémon and the attacker will faint after three turns unless they switch out of battle."
Pickpocket,"Steals an item when hit by another Pokémon."
Pickup,"The Pokémon may pick up items."
Pixilate,"Turns Normal-type moves into Fairy-type moves."
Plus,"Ups Sp. Atk if another Pokémon has Plus or Minus."
Poison Heal,"Restores HP if the Pokémon is poisoned."
Poison Point,"Contact with the Pokémon may poison the attacker."
Poison Puppeteer,"Poisoned Pokémon also become confused."
Poison Touch,"May poison targets when a Pokémon makes contact."
Power Construct,"Changes form when HP drops below half."
Power of Alchemy,"The Pokémon copies the Ability of a defeated ally."
Power Spot,"Just being next to the Pokémon powers up moves."
Prankster,"Gives priority to a status move."
Pressure,"The Pokémon raises the foe's PP usage."
Primordial Sea,"Makes it rain heavily when the ability activates."
Prism Armor,"Reduces damage from super-effective attacks."
Propeller Tail,"Ignores moves and abilities that draw in moves."
Protean,"Changes the Pokémon's type to its last used move."
Protosynthesis,"Raises highest stat in harsh sunlight,or if holding Booster Energy."
Psychic Surge,"The Pokémon creates a Psychic Terrain when it enters a battle."
Punk Rock,"Boosts sound-based moves and halves damage from the same moves."
Pure Power,"Raises the Pokémon's Attack stat."
Purifying Salt,"Protects from status conditions and halves damage from Ghost-type moves."
Quark Drive,"Raises highest stat on Electric Terrain,or if holding Booster Energy."
Queenly Majesty,"Prevents use of priority moves."
Quick Draw,"
Quick Feet,"Boosts Speed if there is a status problem."
Rain Dish,"The Pokémon gradually regains HP in rain."
Rattled,"Bug,Ghost or Dark type moves scare it and boost its Speed."
Receiver,"Inherits an ally's ability when it faints."
Reckless,"Powers up moves that have recoil damage."
Refrigerate,"Turns Normal-type moves into Ice-type moves."
Regenerator,"Restores a little HP when withdrawn from battle."
Ripen,"Doubles the effect of berries."
Rivalry,"Deals more damage to a Pokémon of same gender."
RKS System,"Changes type depending on held item."
Rock Head,"Protects the Pokémon from recoil damage."
Rocky Payload,"Powers up Rock-type moves."
Rough Skin,"Inflicts damage to the attacker on contact."
Run Away,"Enables a sure getaway from wild Pokémon."
Sand Force,"Boosts certain moves' power in a sandstorm."
Sand Rush,"Boosts the Pokémon's Speed in a sandstorm."
Sand Spit,"Creates a sandstorm when hit by an attack."
Sand Stream,"The Pokémon summons a sandstorm in battle."
Sand Veil,"Boosts the Pokémon's evasion in a sandstorm."
Sap Sipper,"Boosts Attack when hit by a Grass-type move."
Schooling,"Changes Wishiwashi to School Form."
Scrappy,"Enables moves to hit Ghost-type Pokémon."
Screen Cleaner,"Nullifies effects of Light Screen,Reflect,and Aurora Veil."
Seed Sower,"Turns the ground into Grassy Terrain when the Pokémon is hit by an attack."
Serene Grace,"Boosts the likelihood of added effects appearing."
Shadow Shield,"Reduces damage when HP is full."
Shadow Tag,"Prevents the foe from escaping."
Sharpness,"Powers up slicing moves."
Shed Skin,"The Pokémon may heal its own status problems."
Sheer Force,"Removes added effects to increase move damage."
Shell Armor,"The Pokémon is protected against critical hits."
Shield Dust,"Blocks the added effects of attacks taken."
Shields Down,"Changes stats when HP drops below half."
Simple,"Doubles all stat changes."
Skill Link,"Increases the frequency of multi-strike moves."
Slow Start,"Temporarily halves Attack and Speed."
Slush Rush,"Boosts the Pokémon's Speed stat in a hailstorm."
Sniper,"Powers up moves if they become critical hits."
Snow Cloak,"Raises evasion in a hailstorm."
Snow Warning,"The Pokémon summons a hailstorm in battle."
Solar Power,"In sunshine,Sp. Atk is boosted but HP decreases."
Solid Rock,"Reduces damage from super-effective attacks."
Soul-Heart,"Raises Special Attack when another Pokémon faints."
Soundproof,"Gives immunity to sound-based moves."
Speed Boost,"Its Speed stat is gradually boosted."
Stakeout,"Deals double damage to Pokémon switching in."
Stall,"The Pokémon moves after all other Pokémon do."
Stalwart,"Ignores moves and abilities that draw in moves."
Stamina,"Raises Defense when attacked."
Stance Change,"Changes form depending on moves used."
Static,"Contact with the Pokémon may cause paralysis."
Steadfast,"Raises Speed each time the Pokémon flinches."
Steam Engine,"Drastically raises Speed when hit by a Fire- or Water-type move."
Steelworker,"Powers up Steel-type moves."
Steely Spirit,"Powers up ally Pokémon's Steel-type moves."
Stench,"The stench may cause the target to flinch."
Sticky Hold,"Protects the Pokémon from item theft."
Storm Drain,"Draws in all Water-type moves to up Sp. Attack."
Strong Jaw,"Boosts the power of biting moves."
Sturdy,"It cannot be knocked out with one hit."
Suction Cups,"Negates all moves that force switching out."
Super Luck,"Heightens the critical-hit ratios of moves."
Supersweet Syrup,"Lowers opponent's Evasiveness when entering battle."
Supreme Overlord,"Attack and Special Attack are boosted for each party Pokémon that has been defeated."
Surge Surfer,"Doubles Speed during Electric Terrain."
Swarm,"Powers up Bug-type moves in a pinch."
Sweet Veil,"Prevents the Pokémon and allies from falling asleep."
Swift Swim,"Boosts the Pokémon's Speed in rain."
Sword of Ruin,"Lowers Defense of all Pokémon except itself."
Symbiosis,"The Pokémon can pass an item to an ally."
Synchronize,"Passes a burn,poison,or paralysis to the foe."
Tablets of Ruin,"Lowers Attack of all Pokémon except itself."
Tangled Feet,"Raises evasion if the Pokémon is confused."
Tangling Hair,"Contact with the Pokémon lowers the attacker's Speed stat."
Technician,"Powers up the Pokémon's weaker moves."
Telepathy,"Anticipates an ally's attack and dodges it."
Tera Shell,"Moves are not very effective when HP is full."
Tera Shift,"Transforms into Terastal Form in battle."
Teraform Zero,"Eliminates all effects of weather and terrain."
Teravolt,"Moves can be used regardless of Abilities."
Thermal Exchange,"Raises Attack when hit by a Fire-type move. Cannot be burned."
Thick Fat,"Ups resistance to Fire- and Ice-type moves."
Tinted Lens,"Powers up “not very effective” moves."
Torrent,"Powers up Water-type moves in a pinch."
Tough Claws,"Boosts the power of contact moves."
Toxic Boost,"Powers up physical attacks when poisoned."
Toxic Chain,"May cause bad poisoning."
Toxic Debris,"Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves."
Trace,"The Pokémon copies a foe's Ability."
Transistor,"Powers up Electric-type moves."
Triage,"Gives priority to restorative moves."
Truant,"Pokémon can't attack on consecutive turns."
Turboblaze,"Moves can be used regardless of Abilities."
Unaware,"Ignores any stat changes in the Pokémon."
Unburden,"Raises Speed if a held item is used."
Unnerve,"Makes the foe nervous and unable to eat Berries."
Unseen Fist,"Contact moves can strike through Protect/Detect."
Vessel of Ruin,"Lowers Special Attack of all Pokémon except itself."
Victory Star,"Boosts the accuracy of its allies and itself."
Vital Spirit,"Prevents the Pokémon from falling asleep."
Volt Absorb,"Restores HP if hit by an Electric-type move."
Wandering Spirit,"Swaps abilities with opponents on contact."
Water Absorb,"Restores HP if hit by a Water-type move."
Water Bubble,"Halves damage from Fire-type moves,doubles power of Water-type moves used,and prevents burns."
Water Compaction,"Sharply raises Defense when hit by a Water-type move."
Water Veil,"Prevents the Pokémon from getting a burn."
Weak Armor,"Physical attacks lower Defense and raise Speed."
Well-Baked Body,"Immune to Fire-type moves,and Defense is sharply boosted."
White Smoke,"Prevents other Pokémon from lowering its stats."
Wimp Out,"Switches out when HP drops below half."
Wind Power,"Doubles power of the next Electric-type move used,when hit by a wind move."
Wind Rider,"Takes no damage from wind moves,and boosts Attack if hit by one."
Wonder Guard,"Only supereffective moves will hit."
Wonder Skin,"Makes status-changing moves more likely to miss."
Zen Mode,"Changes form when HP drops below half."
Zero to Hero,"Transforms into its Hero Form when switching out."
